number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_lr,params_rot_inv,state
88,0.04952070116996765,2022-10-13 14:33:03.997196,2022-10-13 14:45:03.110383,0 days 00:11:59.113187,48,10,0.0015295738376797693,4,COMPLETE
89,0.06357219070196152,2022-10-13 14:33:57.239399,2022-10-13 14:46:23.401946,0 days 00:12:26.162547,27,10,0.000245351711674119,3,COMPLETE
90,0.1965244710445404,2022-10-13 14:36:01.511815,2022-10-13 14:48:01.472315,0 days 00:11:59.960500,57,14,1.9160389849797265e-06,1,COMPLETE
91,0.14000605046749115,2022-10-13 14:36:16.144262,2022-10-13 14:47:05.302950,0 days 00:10:49.158688,51,9,6.9157728510070564e-06,5,COMPLETE
92,0.7318447828292847,2022-10-13 14:45:03.195557,2022-10-13 14:55:38.112576,0 days 00:10:34.917019,53,9,0.008841729479185607,3,COMPLETE
93,0.04980111122131348,2022-10-13 14:46:23.486943,2022-10-13 14:57:39.741227,0 days 00:11:16.254284,42,9,0.002073483341943255,5,COMPLETE
94,0.060556598007678986,2022-10-13 14:47:05.357501,2022-10-13 15:10:55.629821,0 days 00:23:50.272320,19,18,7.371012844462585e-05,5,COMPLETE
95,0.17816342413425446,2022-10-13 14:48:01.553009,2022-10-13 14:53:43.210959,0 days 00:05:41.657950,56,5,0.0020441851645010803,2,COMPLETE
96,0.04709872230887413,2022-10-13 14:52:52.794932,2022-10-13 15:07:36.907256,0 days 00:14:44.112324,50,13,0.0008795356491266995,3,COMPLETE
97,0.7304292917251587,2022-10-13 14:53:43.296153,2022-10-13 15:05:49.646505,0 days 00:12:06.350352,27,10,0.004064217906466119,3,COMPLETE
98,0.14158636331558228,2022-10-13 14:55:38.196326,2022-10-13 15:12:09.222255,0 days 00:16:31.025929,32,13,4.56835877349276e-06,5,COMPLETE
99,0.07011519372463226,2022-10-13 14:57:39.826771,2022-10-13 15:16:51.531670,0 days 00:19:11.704899,51,16,5.403963611196308e-05,5,COMPLETE
100,0.06901583820581436,2022-10-13 15:05:49.850853,2022-10-13 15:15:40.782389,0 days 00:09:50.931536,27,11,0.00028678511607035256,1,COMPLETE
101,0.10550864040851593,2022-10-13 15:07:36.989661,2022-10-13 15:20:23.310897,0 days 00:12:46.321236,62,11,3.618723570502063e-05,4,COMPLETE
102,0.19606748223304749,2022-10-13 15:10:55.688155,2022-10-13 15:18:08.848217,0 days 00:07:13.160062,48,6,3.7413225904725843e-06,4,COMPLETE
103,0.04200015217065811,2022-10-13 15:12:09.322786,2022-10-13 15:37:15.427637,0 days 00:25:06.104851,27,20,0.000949991489265182,4,COMPLETE
104,0.0438728854060173,2022-10-13 15:15:40.861360,2022-10-13 15:29:12.191935,0 days 00:13:31.330575,44,11,0.000742950489782477,5,COMPLETE
105,0.03962210193276405,2022-10-13 15:16:51.614742,2022-10-13 15:30:28.544274,0 days 00:13:36.929532,44,11,0.0006323194199400475,5,COMPLETE
106,0.03512701764702797,2022-10-13 15:18:08.905267,2022-10-13 15:31:23.300418,0 days 00:13:14.395151,44,11,0.0006758470430893437,5,COMPLETE
107,0.03711911290884018,2022-10-13 15:20:23.368816,2022-10-13 15:33:38.184455,0 days 00:13:14.815639,45,11,0.0006882471269513931,5,COMPLETE
108,0.038488902151584625,2022-10-13 15:29:12.283413,2022-10-13 15:42:21.135966,0 days 00:13:08.852553,44,11,0.0006466469189775634,5,COMPLETE
109,0.042157694697380066,2022-10-13 15:30:28.628816,2022-10-13 15:44:06.736954,0 days 00:13:38.108138,44,11,0.0006857507718674723,5,COMPLETE
110,0.035312455147504807,2022-10-13 15:31:23.358427,2022-10-13 15:44:39.702831,0 days 00:13:16.344404,44,11,0.0006868487978786734,5,COMPLETE
111,0.04066583141684532,2022-10-13 15:33:38.242668,2022-10-13 15:46:52.148727,0 days 00:13:13.906059,44,11,0.0008000893754034169,5,COMPLETE
112,0.04548950120806694,2022-10-13 15:37:15.513773,2022-10-13 15:51:10.746522,0 days 00:13:55.232749,43,11,0.0006617946164750775,5,COMPLETE
113,0.03396167606115341,2022-10-13 15:42:21.221813,2022-10-13 15:55:56.262561,0 days 00:13:35.040748,45,11,0.0007485679008292498,5,COMPLETE
114,0.04566199705004692,2022-10-13 15:44:06.820099,2022-10-13 15:57:42.326518,0 days 00:13:35.506419,45,11,0.0006246119430524774,5,COMPLETE
115,0.03855593875050545,2022-10-13 15:44:39.761191,2022-10-13 15:57:52.660395,0 days 00:13:12.899204,45,11,0.0006573676120218494,5,COMPLETE
116,0.038057852536439896,2022-10-13 15:46:52.206972,2022-10-13 16:00:07.317073,0 days 00:13:15.110101,46,11,0.0006465346172183486,5,COMPLETE
117,0.03732661157846451,2022-10-13 15:51:10.834759,2022-10-13 16:04:45.833289,0 days 00:13:34.998530,46,11,0.0009147228583351052,5,COMPLETE
118,0.03636452183127403,2022-10-13 15:55:56.345577,2022-10-13 16:09:26.373600,0 days 00:13:30.028023,46,11,0.0008628387345396532,5,COMPLETE
119,0.03762403130531311,2022-10-13 15:57:42.415832,2022-10-13 16:12:23.359438,0 days 00:14:40.943606,45,12,0.0009082590465886222,5,COMPLETE
120,0.038088832050561905,2022-10-13 15:57:52.722378,2022-10-13 16:12:12.015767,0 days 00:14:19.293389,46,12,0.0008136302349739307,5,COMPLETE
121,0.03678649663925171,2022-10-13 16:00:07.838459,2022-10-13 16:14:20.799309,0 days 00:14:12.960850,46,12,0.001276145406145692,5,COMPLETE
122,0.03488095477223396,2022-10-13 16:04:45.925208,2022-10-13 16:19:35.544219,0 days 00:14:49.619011,46,12,0.0008467831712477049,5,COMPLETE
123,0.7313262224197388,2022-10-13 16:09:26.451682,2022-10-13 16:24:00.585218,0 days 00:14:34.133536,46,12,0.0012471077972153678,5,COMPLETE
124,0.035882893949747086,2022-10-13 16:12:12.099697,2022-10-13 16:26:32.716080,0 days 00:14:20.616383,46,12,0.001312009698369102,5,COMPLETE
125,0.03953239694237709,2022-10-13 16:12:23.420533,2022-10-13 16:27:09.116891,0 days 00:14:45.696358,46,12,0.0013114938128063578,5,COMPLETE
126,0.047041155397892,2022-10-13 16:14:20.858929,2022-10-13 16:28:39.137738,0 days 00:14:18.278809,46,12,0.001299203330872079,5,COMPLETE
127,0.03911830484867096,2022-10-13 16:19:35.626981,2022-10-13 16:34:27.936032,0 days 00:14:52.309051,47,12,0.0013327205627101841,5,COMPLETE
128,0.731651246547699,2022-10-13 16:24:00.669244,2022-10-13 16:38:27.001467,0 days 00:14:26.332223,46,12,0.0015477639007753024,5,COMPLETE
129,0.04660245403647423,2022-10-13 16:26:32.799078,2022-10-13 16:40:54.174221,0 days 00:14:21.375143,47,12,0.0016543735507894028,5,COMPLETE
130,0.033003997057676315,2022-10-13 16:27:09.179233,2022-10-13 16:41:52.351797,0 days 00:14:43.172564,46,12,0.0015167017609384016,5,COMPLETE
131,0.04020904004573822,2022-10-13 16:28:39.198562,2022-10-13 16:42:53.785848,0 days 00:14:14.587286,47,12,0.0016629732417547543,5,COMPLETE
132,0.03657597675919533,2022-10-13 16:34:28.022449,2022-10-13 16:49:33.527784,0 days 00:15:05.505335,41,12,0.0017060006369672882,5,COMPLETE
133,0.03308485075831413,2022-10-13 16:38:27.084294,2022-10-13 16:54:29.597166,0 days 00:16:02.512872,41,13,0.001019759464045229,5,COMPLETE
134,0.04152945801615715,2022-10-13 16:40:54.261966,2022-10-13 16:56:17.470682,0 days 00:15:23.208716,48,13,0.001018031660522204,5,COMPLETE
135,0.03890099748969078,2022-10-13 16:41:52.410981,2022-10-13 16:57:52.447020,0 days 00:16:00.036039,43,13,0.0010449418920598242,5,COMPLETE
136,0.03634084016084671,2022-10-13 16:42:53.853741,2022-10-13 16:58:32.300144,0 days 00:15:38.446403,41,13,0.0010154661480551827,5,COMPLETE
137,0.03849092498421669,2022-10-13 16:49:33.614750,2022-10-13 17:05:30.220938,0 days 00:15:56.606188,41,13,0.0010987679375212827,5,COMPLETE
138,0.03709970787167549,2022-10-13 16:54:29.681178,2022-10-13 17:10:27.961701,0 days 00:15:58.280523,41,13,0.001070765593412189,5,COMPLETE
139,0.7305365204811096,2022-10-13 16:56:17.557433,2022-10-13 17:11:49.608788,0 days 00:15:32.051355,41,13,0.002459470958164292,5,COMPLETE
140,0.04092194512486458,2022-10-13 16:57:52.509739,2022-10-13 17:10:21.354953,0 days 00:12:28.845214,41,10,0.0005045485195352475,5,COMPLETE
141,0.7308212518692017,2022-10-13 16:58:32.363423,2022-10-13 17:14:12.383289,0 days 00:15:40.019866,41,13,0.002457425816492393,5,COMPLETE
142,0.7316450476646423,2022-10-13 17:05:30.372107,2022-10-13 17:21:47.592637,0 days 00:16:17.220530,41,13,0.002583801606259844,5,COMPLETE
143,0.7307207584381104,2022-10-13 17:10:21.441676,2022-10-13 17:25:14.265051,0 days 00:14:52.823375,43,12,0.002041309625609788,5,COMPLETE
144,0.7311636805534363,2022-10-13 17:10:28.047784,2022-10-13 17:26:38.085805,0 days 00:16:10.038021,41,13,0.002842552450636076,5,COMPLETE
145,0.0331244021654129,2022-10-13 17:11:49.691580,2022-10-13 17:27:23.440882,0 days 00:15:33.749302,43,13,0.0008874897401888769,5,COMPLETE
146,0.0344783179461956,2022-10-13 17:14:12.464865,2022-10-13 17:28:44.994559,0 days 00:14:32.529694,42,12,0.0009087420381822304,5,COMPLETE
147,0.03411562368273735,2022-10-13 17:21:47.696698,2022-10-13 17:36:46.447755,0 days 00:14:58.751057,43,12,0.0008789849715991783,5,COMPLETE
148,0.036445461213588715,2022-10-13 17:25:14.346517,2022-10-13 17:40:01.332545,0 days 00:14:46.986028,45,12,0.0009856032645933865,5,COMPLETE
149,0.03749306499958038,2022-10-13 17:26:38.172681,2022-10-13 17:41:12.024485,0 days 00:14:33.851804,45,12,0.00166680218390105,5,COMPLETE
150,0.7308374047279358,2022-10-13 17:27:23.520845,2022-10-13 17:41:45.421484,0 days 00:14:21.900639,45,12,0.0017164282275409352,5,COMPLETE
151,0.04543868079781532,2022-10-13 17:28:45.056525,2022-10-13 17:43:12.321680,0 days 00:14:27.265155,43,12,0.0017639400645338373,5,COMPLETE
152,0.7312963604927063,2022-10-13 17:36:46.537800,2022-10-13 17:51:45.225086,0 days 00:14:58.687286,40,12,0.0018484167737815621,5,COMPLETE
153,0.7310255765914917,2022-10-13 17:40:01.419274,2022-10-13 17:54:50.915093,0 days 00:14:49.495819,43,12,0.0018906579257061092,5,COMPLETE
154,0.04284946620464325,2022-10-13 17:41:12.112503,2022-10-13 17:56:02.085618,0 days 00:14:49.973115,42,12,0.00044585697210011103,5,COMPLETE
155,0.034254830330610275,2022-10-13 17:41:45.501200,2022-10-13 17:58:32.583694,0 days 00:16:47.082494,43,14,0.0011108579978660953,5,COMPLETE
156,0.04089440777897835,2022-10-13 17:43:12.384991,2022-10-13 17:59:55.707056,0 days 00:16:43.322065,42,14,0.001152553314600322,5,COMPLETE
157,0.034553222358226776,2022-10-13 17:51:45.319101,2022-10-13 18:07:51.896464,0 days 00:16:06.577363,42,13,0.0011218104931510627,5,COMPLETE
158,0.0334177240729332,2022-10-13 17:54:50.999635,2022-10-13 18:11:00.381203,0 days 00:16:09.381568,39,13,0.00116402556477357,5,COMPLETE
159,0.035529229789972305,2022-10-13 17:56:02.166078,2022-10-13 18:11:39.771102,0 days 00:15:37.605024,39,13,0.0011271422433743006,5,COMPLETE
160,0.03456323221325874,2022-10-13 17:58:32.668761,2022-10-13 18:15:04.524318,0 days 00:16:31.855557,43,14,0.0012064722410351227,5,COMPLETE
161,0.7305664420127869,2022-10-13 17:59:55.769777,2022-10-13 18:18:01.915604,0 days 00:18:06.145827,39,15,0.0013418661467131789,5,COMPLETE
162,0.03479160740971565,2022-10-13 18:07:52.103517,2022-10-13 18:24:56.276621,0 days 00:17:04.173104,40,14,0.0008218117502695362,5,COMPLETE
163,0.03359760716557503,2022-10-13 18:11:00.474406,2022-10-13 18:28:21.254008,0 days 00:17:20.779602,40,14,0.0008855007760881893,5,COMPLETE
164,0.034223854541778564,2022-10-13 18:11:39.873399,2022-10-13 18:30:06.667155,0 days 00:18:26.793756,37,15,0.0008873520455883967,5,COMPLETE
165,0.030537474900484085,2022-10-13 18:15:04.609536,2022-10-13 18:31:58.979627,0 days 00:16:54.370091,39,14,0.0008203986038597899,5,COMPLETE
166,0.033146932721138,2022-10-13 18:18:01.980186,2022-10-13 18:35:04.476182,0 days 00:17:02.495996,36,14,0.0009049163439981141,5,COMPLETE
167,0.030890360474586487,2022-10-13 18:24:56.364988,2022-10-13 18:42:09.503640,0 days 00:17:13.138652,39,14,0.0008428034354659867,5,COMPLETE
168,0.033213354647159576,2022-10-13 18:28:21.341748,2022-10-13 18:47:13.568362,0 days 00:18:52.226614,36,15,0.0008101046269067773,5,COMPLETE
169,0.037072911858558655,2022-10-13 18:30:06.759016,2022-10-13 18:48:32.544097,0 days 00:18:25.785081,37,15,0.0005165324253787614,5,COMPLETE
170,0.03175821527838707,2022-10-13 18:31:59.064885,2022-10-13 18:50:03.889431,0 days 00:18:04.824546,36,15,0.0008104339125828769,5,COMPLETE
171,0.03528883308172226,2022-10-13 18:35:04.540978,2022-10-13 18:53:16.447923,0 days 00:18:11.906945,37,15,0.0005348290808065535,5,COMPLETE
172,0.03537696972489357,2022-10-13 18:42:09.596599,2022-10-13 19:00:39.901508,0 days 00:18:30.304909,37,15,0.0005209876638708125,5,COMPLETE
