,Unnamed: 0,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
4,4,20,1.0922498322450422e-05,29,9,2,"[0.4442834258079529, 0.3116600513458252, 0.29093021154403687, 0.2743769884109497, 0.25838732719421387, 0.24599437415599823, 0.2355814129114151, 0.2260109782218933, 0.21786293387413025]","[0.21524028480052948, 0.20226198434829712, 0.1819300651550293, 0.17244498431682587, 0.16509568691253662, 0.16214001178741455, 0.15374670922756195, 0.15119874477386475, 0.14064309000968933]",0.1406430900096893,567.1186132412404,0
3,3,21,0.0001838794332034,39,18,3,"[0.3014090657234192, 0.17846542596817017, 0.13556642830371857, 0.11166960000991821, 0.09572125226259232, 0.08188918977975845, 0.0716106966137886, 0.06360944360494614, 0.05699095129966736, 0.048787251114845276, 0.0429653599858284, 0.037320416420698166, 0.032803039997816086, 0.029794294387102127, 0.026670869439840317, 0.024665243923664093, 0.022824060171842575, 0.021309778094291687]","[0.15290667116641998, 0.09984128922224045, 0.13005465269088745, 0.10691825300455093, 0.09505148231983185, 0.0720519870519638, 0.08142521232366562, 0.06762741506099701, 0.06947451084852219, 0.08058623224496841, 0.0653962716460228, 0.074299156665802, 0.06896770745515823, 0.06560938060283661, 0.06721280515193939, 0.06310591846704483, 0.06231208145618439, 0.06615093350410461]",0.0623120814561843,1187.8226647139527,0
4,4,22,6.092694735920564e-05,24,7,3,"[0.33125370740890503, 0.23162497580051422, 0.18513786792755127, 0.15381456911563873, 0.13399732112884521, 0.12046194076538086, 0.10926784574985504]","[0.16985920071601868, 0.1364005208015442, 0.12166894227266312, 0.20648665726184845, 0.09310831874608994, 0.08814223855733871, 0.08425211906433105]",0.084252119064331,486.64727835543454,0
5,5,23,0.0035879773068817,18,6,3,"[1.0323625802993774, 1.0002758502960205, 1.000435471534729, 1.0003376007080078, 1.0004335641860962, 1.0003799200057983]","[0.7308127284049988, 0.7330102324485779, 0.7316673398017883, 0.7427252531051636, 0.7305793166160583, 0.730008602142334]",0.730008602142334,440.0625793915242,0
4,4,24,0.0004361720206817,34,14,1,"[0.3005247116088867, 0.17301425337791443, 0.14022645354270935, 0.11471875756978989, 0.10338054597377777, 0.08859717100858688, 0.07927459478378296, 0.06750519573688507, 0.0606294684112072, 0.053497202694416046, 0.048753876239061356, 0.042415473610162735, 0.03651585802435875, 0.035016171634197235]","[0.11346577852964401, 0.1114497259259224, 0.09083258360624313, 0.09310953319072723, 0.08020570129156113, 0.08502261340618134, 0.0766620934009552, 0.06980517506599426, 0.07385286688804626, 0.07111820578575134, 0.06545822322368622, 0.07006888091564178, 0.06468386203050613, 0.06582146137952805]",0.0646838620305061,714.643890819978,0
5,5,25,0.0001645420017715,32,13,5,"[0.2782638370990753, 0.16060902178287506, 0.1225571483373642, 0.10275214910507202, 0.08548649400472641, 0.07275324314832687, 0.062310103327035904, 0.05272664874792099, 0.044860173016786575, 0.038405608385801315, 0.03332480415701866, 0.028472956269979477, 0.025379523634910583]","[0.12260612845420837, 0.09318263828754425, 0.08299985527992249, 0.07504298537969589, 0.07245232909917831, 0.06829185038805008, 0.06324098259210587, 0.06162452697753906, 0.06584978848695755, 0.059708427637815475, 0.06630213558673859, 0.05717238783836365, 0.05371464416384697]",0.0537146441638469,934.6331108589656,0
5,5,26,0.0004468431934187,45,8,2,"[0.3341521918773651, 0.17888951301574707, 0.13514921069145203, 0.10515975207090378, 0.08844789862632751, 0.07898925989866257, 0.06847672164440155, 0.06046592816710472]","[0.1335064321756363, 0.40142351388931274, 0.07881186157464981, 0.06687062233686447, 0.06795225292444229, 0.0635204017162323, 0.05945613235235214, 0.05897083133459091]",0.0589708313345909,487.53294491022825,0
6,6,27,1.6383728146813473e-06,42,5,1,"[0.9007100462913513, 0.6032183170318604, 0.44787129759788513, 0.39697301387786865, 0.37280386686325073]","[0.5198573470115662, 0.3277255892753601, 0.26637113094329834, 0.24506264925003052, 0.23315870761871338]",0.2331587076187133,248.25225806981325,0
6,6,28,1.5033034993924098e-05,29,7,4,"[0.45922616124153137, 0.2962099015712738, 0.26690760254859924, 0.24751324951648712, 0.2334926575422287, 0.2207021862268448, 0.20974545180797577]","[0.203359916806221, 0.17639093101024628, 0.16789931058883667, 0.1535424292087555, 0.14647738635540009, 0.1389300376176834, 0.14233042299747467]",0.1389300376176834,490.67101483233273,0
7,7,29,2.700673202277313e-06,49,18,4,"[0.7846701145172119, 0.4918998181819916, 0.38998621702194214, 0.3508005738258362, 0.33144453167915344, 0.3189728558063507, 0.31046509742736816, 0.30287837982177734, 0.29624342918395996, 0.29101330041885376, 0.286045104265213, 0.28168585896492004, 0.27741608023643494, 0.2731115520000458, 0.2694319188594818, 0.26564186811447144, 0.26218512654304504, 0.25869426131248474]","[0.40511345863342285, 0.2894458770751953, 0.24617880582809448, 0.2277083694934845, 0.21701903641223907, 0.20896746218204498, 0.20021848380565643, 0.1956292986869812, 0.1905536949634552, 0.18703418970108032, 0.18388178944587708, 0.1803862601518631, 0.17771586775779724, 0.17981809377670288, 0.17303544282913208, 0.17097632586956024, 0.17005611956119537, 0.16810333728790283]",0.1681033372879028,1190.373815961182,0
