number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_lr,params_rot_inv,state
51,0.7305735349655151,2022-10-12 12:28:35.187007,2022-10-12 12:47:49.063193,0 days 00:19:13.876186,35,17,0.002766352838177149,4,COMPLETE
52,0.057851001620292664,2022-10-12 12:30:18.618378,2022-10-12 12:49:22.393137,0 days 00:19:03.774759,43,17,0.00026491854329479614,4,COMPLETE
53,0.0564601756632328,2022-10-12 12:35:28.635538,2022-10-12 12:57:51.855705,0 days 00:22:23.220167,50,20,0.00016450062479007028,5,COMPLETE
54,0.7298378944396973,2022-10-12 12:40:04.668317,2022-10-12 12:45:44.890800,0 days 00:05:40.222483,19,6,0.003341110959018846,1,COMPLETE
55,0.03786018118262291,2022-10-12 12:44:59.933772,2022-10-12 13:00:15.141991,0 days 00:15:15.208219,31,13,0.0004216372384258207,5,COMPLETE
56,0.10319686681032181,2022-10-12 12:45:44.972801,2022-10-12 13:07:08.476024,0 days 00:21:23.503223,28,18,8.237096481709145e-06,5,COMPLETE
57,0.7298275232315063,2022-10-12 12:47:49.146098,2022-10-12 13:06:00.365829,0 days 00:18:11.219731,16,14,0.007245411665893098,0,COMPLETE
58,0.08314142376184464,2022-10-12 12:49:22.481236,2022-10-12 12:54:45.296222,0 days 00:05:22.814986,60,6,0.00024990702096720774,1,COMPLETE
59,0.18830642104148865,2022-10-12 12:54:45.356359,2022-10-12 13:12:45.974840,0 days 00:18:00.618481,47,18,1.769664366465009e-06,2,COMPLETE
60,0.035327330231666565,2022-10-12 12:57:51.947905,2022-10-12 13:10:45.846199,0 days 00:12:53.898294,37,11,0.0007468492709117681,0,COMPLETE
61,0.10432886332273483,2022-10-12 13:00:15.492563,2022-10-12 13:16:44.876665,0 days 00:16:29.384102,63,15,2.2904211297731065e-05,4,COMPLETE
62,0.1469380110502243,2022-10-12 13:06:00.429545,2022-10-12 13:22:00.415056,0 days 00:15:59.985511,46,16,6.146134308202836e-06,2,COMPLETE
63,0.1643296629190445,2022-10-12 13:07:08.569795,2022-10-12 13:23:25.351713,0 days 00:16:16.781918,17,13,2.10113881901147e-06,4,COMPLETE
64,0.1380915492773056,2022-10-12 13:10:45.936904,2022-10-12 13:31:57.462080,0 days 00:21:11.525176,64,20,8.053783570895769e-06,3,COMPLETE
65,0.09290950000286102,2022-10-12 13:12:46.064478,2022-10-12 13:18:24.451617,0 days 00:05:38.387139,52,5,0.0018040170424716022,2,COMPLETE
66,0.0635167807340622,2022-10-12 13:16:44.968174,2022-10-12 13:26:01.686897,0 days 00:09:16.718723,47,8,0.00023073977686330303,0,COMPLETE
67,0.1388309746980667,2022-10-12 13:18:24.538018,2022-10-12 13:35:08.289742,0 days 00:16:43.751724,31,15,8.726548736914063e-06,3,COMPLETE
68,0.09016663581132889,2022-10-12 13:22:00.503229,2022-10-12 13:44:57.223323,0 days 00:22:56.720094,36,20,1.7642569498574914e-05,5,COMPLETE
69,0.06665722280740738,2022-10-12 13:23:25.438072,2022-10-12 13:36:43.219488,0 days 00:13:17.781416,60,12,0.0002075804777004886,3,COMPLETE
70,0.09672140330076218,2022-10-12 13:26:01.766787,2022-10-12 13:40:49.824064,0 days 00:14:48.057277,44,13,2.5245961288298375e-05,5,COMPLETE
71,0.14085572957992554,2022-10-12 13:31:57.524443,2022-10-12 13:50:24.178871,0 days 00:18:26.654428,30,16,4.901990361664484e-06,4,COMPLETE
72,0.11248795688152313,2022-10-12 13:35:08.375307,2022-10-12 13:55:15.828678,0 days 00:20:07.453371,40,20,1.5370835791292224e-05,2,COMPLETE
73,0.7296131253242493,2022-10-12 13:36:43.303900,2022-10-12 13:53:18.051709,0 days 00:16:34.747809,39,14,0.0037923652097254586,5,COMPLETE
74,0.05962269753217697,2022-10-12 13:40:49.909281,2022-10-12 13:53:17.159134,0 days 00:12:27.249853,54,11,0.0001945161164786429,5,COMPLETE
75,0.10922914743423462,2022-10-12 13:44:57.288422,2022-10-12 13:57:43.547381,0 days 00:12:46.258959,45,16,1.9936730399197538e-05,1,COMPLETE
76,0.18498361110687256,2022-10-12 13:50:24.246839,2022-10-12 14:07:26.766634,0 days 00:17:02.519795,43,17,1.6122748430253215e-06,2,COMPLETE
77,0.06861855089664459,2022-10-12 13:53:17.222256,2022-10-12 14:08:30.985431,0 days 00:15:13.763175,30,19,0.0009702449682038601,1,COMPLETE
78,0.7294428944587708,2022-10-12 13:53:18.134443,2022-10-12 14:05:55.434180,0 days 00:12:37.299737,25,10,0.0073753794710484,5,COMPLETE
79,0.18614977598190308,2022-10-12 13:55:15.924953,2022-10-12 14:11:41.299898,0 days 00:16:25.374945,16,13,1.1008141156735197e-06,4,COMPLETE
80,0.11916659772396088,2022-10-12 13:57:44.217383,2022-10-12 14:04:48.760105,0 days 00:07:04.542722,56,6,2.5670837672494923e-05,5,COMPLETE
81,0.14809559285640717,2022-10-12 14:04:48.914903,2022-10-12 14:19:49.335201,0 days 00:15:00.420298,50,19,4.236330355857093e-06,1,COMPLETE
82,0.07881458848714828,2022-10-12 14:05:55.535432,2022-10-12 14:15:26.104087,0 days 00:09:30.568655,18,7,5.0791650443117e-05,5,COMPLETE
83,0.11964379251003265,2022-10-12 14:07:26.854408,2022-10-12 14:20:59.249281,0 days 00:13:32.394873,29,12,1.6484150143842153e-05,3,COMPLETE
84,0.14939554035663605,2022-10-12 14:08:31.046261,2022-10-12 14:17:12.299580,0 days 00:08:41.253319,25,7,5.7447680446906065e-06,5,COMPLETE
85,0.7299168109893799,2022-10-12 14:11:41.391776,2022-10-12 14:27:27.522793,0 days 00:15:46.131017,45,14,0.003607357324010728,4,COMPLETE
86,0.13401207327842712,2022-10-12 14:15:26.187548,2022-10-12 14:27:15.222118,0 days 00:11:49.034570,50,10,5.033795528575574e-06,0,COMPLETE
87,0.19029287993907928,2022-10-12 14:17:12.380255,2022-10-12 14:30:06.927296,0 days 00:12:54.547041,62,13,2.631298346350405e-06,2,COMPLETE
88,0.7293108701705933,2022-10-12 14:19:49.396737,2022-10-12 14:37:58.863821,0 days 00:18:09.467084,38,16,0.00919936192105113,4,COMPLETE
89,0.09825486689805984,2022-10-12 14:20:59.313626,2022-10-12 14:29:34.511839,0 days 00:08:35.198213,19,10,2.7002382838064883e-05,1,COMPLETE
90,0.7307589650154114,2022-10-12 14:27:15.306341,2022-10-12 14:37:06.186733,0 days 00:09:50.880392,31,8,0.0029454214369906534,0,COMPLETE
91,0.7293030619621277,2022-10-12 14:27:27.617644,2022-10-12 14:34:33.552962,0 days 00:07:05.935318,26,6,0.006901671782790487,3,COMPLETE
92,0.09553049504756927,2022-10-12 14:29:34.596538,2022-10-12 14:45:45.670148,0 days 00:16:11.073610,39,14,1.6403345073969604e-05,0,COMPLETE
93,0.08789052814245224,2022-10-12 14:30:06.986896,2022-10-12 14:52:06.670385,0 days 00:21:59.683489,62,20,1.824560833273345e-05,0,COMPLETE
94,0.15528227388858795,2022-10-12 14:34:33.634462,2022-10-12 14:50:38.638462,0 days 00:16:05.004000,20,13,1.4336983265765455e-06,0,COMPLETE
95,0.7310869693756104,2022-10-12 14:37:06.273975,2022-10-12 14:54:44.337015,0 days 00:17:38.063040,33,15,0.0015373260418097164,5,COMPLETE
96,0.04508616775274277,2022-10-12 14:37:58.955561,2022-10-12 15:02:18.249003,0 days 00:24:19.293442,22,20,0.00015988067050222622,5,COMPLETE
97,0.04602915421128273,2022-10-12 14:45:45.741406,2022-10-12 14:51:51.458174,0 days 00:06:05.716768,47,5,0.0015893287201153281,0,COMPLETE
98,0.04777296632528305,2022-10-12 14:50:38.744487,2022-10-12 15:11:51.619266,0 days 00:21:12.874779,51,19,0.00023011499431171498,5,COMPLETE
99,0.038751307874917984,2022-10-12 14:51:51.555502,2022-10-12 15:10:56.430038,0 days 00:19:04.874536,52,17,0.0007730022254557151,0,COMPLETE
100,0.7293086647987366,2022-10-12 14:52:06.733744,2022-10-12 14:59:57.081477,0 days 00:07:50.347733,49,7,0.004092015606017216,3,COMPLETE
101,0.7299534678459167,2022-10-12 14:54:44.412795,2022-10-12 15:12:50.302555,0 days 00:18:05.889760,20,15,0.003913186534825532,4,COMPLETE
102,0.06597476452589035,2022-10-12 14:59:57.176991,2022-10-12 15:12:58.716862,0 days 00:13:01.539871,16,12,0.0008878210074184151,2,COMPLETE
103,0.07625656574964523,2022-10-12 15:02:18.453343,2022-10-12 15:08:29.223939,0 days 00:06:10.770596,36,5,0.00017317377704185517,5,COMPLETE
104,0.04043486714363098,2022-10-12 15:08:29.284652,2022-10-12 15:18:47.892777,0 days 00:10:18.608125,57,9,0.0006701807553946702,0,COMPLETE
105,0.036730509251356125,2022-10-12 15:10:56.492322,2022-10-12 15:21:39.364752,0 days 00:10:42.872430,34,9,0.0006879201284327776,0,COMPLETE
106,0.03527779504656792,2022-10-12 15:11:51.711733,2022-10-12 15:31:58.505523,0 days 00:20:06.793790,55,18,0.0006997565243422155,0,COMPLETE
107,0.03992346301674843,2022-10-12 15:12:50.390125,2022-10-12 15:33:16.572985,0 days 00:20:26.182860,56,18,0.0007160184309889189,0,COMPLETE
108,0.0698808804154396,2022-10-12 15:12:58.806945,2022-10-12 15:23:19.142543,0 days 00:10:20.335598,52,9,0.00041808836766347085,0,COMPLETE
109,0.037259791046381,2022-10-12 15:18:47.956105,2022-10-12 15:38:50.531388,0 days 00:20:02.575283,55,18,0.0005305372302721365,0,COMPLETE
110,0.05075624957680702,2022-10-12 15:21:39.429403,2022-10-12 15:32:00.066594,0 days 00:10:20.637191,55,9,0.0004794052082388659,0,COMPLETE
111,0.045757927000522614,2022-10-12 15:23:19.203042,2022-10-12 15:33:34.986480,0 days 00:10:15.783438,57,9,0.0006329550545134022,0,COMPLETE
112,0.037772033363580704,2022-10-12 15:31:58.601694,2022-10-12 15:52:19.847420,0 days 00:20:21.245726,57,18,0.0006530290205885016,0,COMPLETE
113,0.03678588941693306,2022-10-12 15:32:00.144345,2022-10-12 15:52:00.848971,0 days 00:20:00.704626,58,18,0.0007083094302517669,0,COMPLETE
114,0.033673256635665894,2022-10-12 15:33:16.671329,2022-10-12 15:53:37.758581,0 days 00:20:21.087252,58,18,0.0007172213321592777,0,COMPLETE
115,0.03603262081742287,2022-10-12 15:33:35.072840,2022-10-12 15:53:31.265213,0 days 00:19:56.192373,57,18,0.0006713684746060371,0,COMPLETE
116,0.03718261048197746,2022-10-12 15:38:50.597181,2022-10-12 15:58:50.419737,0 days 00:19:59.822556,57,18,0.0007414545623824292,0,COMPLETE
117,0.04156490042805672,2022-10-12 15:52:00.916265,2022-10-12 16:12:02.231415,0 days 00:20:01.315150,58,18,0.0006901349729378839,0,COMPLETE
118,0.037019286304712296,2022-10-12 15:52:19.957432,2022-10-12 16:12:27.362513,0 days 00:20:07.405081,57,18,0.0007006413513526157,0,COMPLETE
119,0.050667654722929,2022-10-12 15:53:31.351226,2022-10-12 16:13:25.850475,0 days 00:19:54.499249,59,18,0.0003620258168706809,0,COMPLETE
120,0.051156651228666306,2022-10-12 15:53:37.833946,2022-10-12 16:13:58.754065,0 days 00:20:20.920119,59,18,0.00036020235175931287,0,COMPLETE
121,0.11622460186481476,2022-10-12 15:58:50.514317,2022-10-12 16:18:48.062086,0 days 00:19:57.547769,59,18,0.001243865910656563,0,COMPLETE
122,0.052383340895175934,2022-10-12 16:12:02.441542,2022-10-12 16:32:01.052879,0 days 00:19:58.611337,60,18,0.0003340510061419793,0,COMPLETE
123,0.7310910820960999,2022-10-12 16:12:27.519516,2022-10-12 16:32:31.836141,0 days 00:20:04.316625,59,18,0.001256422108368535,0,COMPLETE
124,0.03636525198817253,2022-10-12 16:13:25.944314,2022-10-12 16:33:26.044946,0 days 00:20:00.100632,54,18,0.0005719366165078124,0,COMPLETE
125,0.7313130497932434,2022-10-12 16:13:58.843436,2022-10-12 16:35:32.371538,0 days 00:21:33.528102,55,19,0.0012109021665883076,0,COMPLETE
126,0.03960883989930153,2022-10-12 16:18:48.212826,2022-10-12 16:39:54.835999,0 days 00:21:06.623173,55,19,0.0005366600195347017,0,COMPLETE
127,0.04065609723329544,2022-10-12 16:32:01.120595,2022-10-12 16:53:12.886686,0 days 00:21:11.766091,54,19,0.0005767394459441475,0,COMPLETE
128,0.03730756789445877,2022-10-12 16:32:31.926680,2022-10-12 16:51:36.919748,0 days 00:19:04.993068,54,17,0.0005475163498502944,0,COMPLETE
129,0.03816836699843407,2022-10-12 16:33:26.134453,2022-10-12 16:54:31.323555,0 days 00:21:05.189102,54,19,0.000534941791437323,0,COMPLETE
130,0.038159556686878204,2022-10-12 16:35:32.459756,2022-10-12 16:57:04.221137,0 days 00:21:31.761381,54,19,0.0005396827826581254,0,COMPLETE
131,0.04472779110074043,2022-10-12 16:39:54.933788,2022-10-12 16:58:51.976221,0 days 00:18:57.042433,54,17,0.0005387994735992761,0,COMPLETE
132,0.033815786242485046,2022-10-12 16:51:37.010491,2022-10-12 17:10:41.100388,0 days 00:19:04.089897,54,17,0.00087500660943295,0,COMPLETE
133,0.03391721099615097,2022-10-12 16:53:12.983796,2022-10-12 17:12:10.701068,0 days 00:18:57.717272,57,17,0.0008432660137697207,0,COMPLETE
134,0.041247133165597916,2022-10-12 16:54:31.401559,2022-10-12 17:13:22.805105,0 days 00:18:51.403546,57,17,0.0008571030955586284,0,COMPLETE
135,0.03658789023756981,2022-10-12 16:57:04.310081,2022-10-12 17:16:21.096685,0 days 00:19:16.786604,56,17,0.0007934589359053215,0,COMPLETE
136,0.03392195329070091,2022-10-12 16:58:52.065881,2022-10-12 17:18:54.108116,0 days 00:20:02.042235,57,18,0.0008513641150688165,0,COMPLETE
137,0.036872752010822296,2022-10-12 17:10:41.385280,2022-10-12 17:29:39.365004,0 days 00:18:57.979724,57,17,0.0009022559127891232,0,COMPLETE
138,0.03406544774770737,2022-10-12 17:12:10.854240,2022-10-12 17:31:07.263805,0 days 00:18:56.409565,57,17,0.0008553445938354597,0,COMPLETE
139,0.039563048630952835,2022-10-12 17:13:22.871328,2022-10-12 17:33:19.477173,0 days 00:19:56.605845,58,18,0.000789850841246277,0,COMPLETE
140,0.034890227019786835,2022-10-12 17:16:21.193799,2022-10-12 17:35:34.500016,0 days 00:19:13.306217,61,17,0.000837421835038154,0,COMPLETE
141,0.03770199418067932,2022-10-12 17:18:54.199965,2022-10-12 17:37:49.433729,0 days 00:18:55.233764,56,17,0.0008620179981454349,0,COMPLETE
142,0.10915789008140564,2022-10-12 17:29:39.455432,2022-10-12 17:48:50.740740,0 days 00:19:11.285308,61,17,0.0009981154746793418,0,COMPLETE
143,0.7315691709518433,2022-10-12 17:31:07.359303,2022-10-12 17:50:02.985047,0 days 00:18:55.625744,58,17,0.0010260322522874276,0,COMPLETE
